Prazo;Atividade;Descrição;Responsável
31/08/2025;Criação do Repositório;Criação do Github que servirá como repositório de arquivos e entregas realizadas.;Eduardo Pinheiro Canas
04/09/2025;Aula Inaugural do Curso;O grupo estará presente para a primeira aula com o Professor orientador e tirará dúvidas pertinentes ao trabalho e sua realização.;Todos os integrantes
04/09/2025;Definição da Empresa e demais atividades da primeira entrega;Primeira reunião do grupo para estruturar o trabalho e realizar a primeira entrega.;Todos os integrantes
05/09/2025;Envio Final da Etapa 1;Entrega da Primeira Etapa para avaliação do Professor Orientador.;Todos os integrantes
13/09/2025;Revisão 1;Revisão do trabalho conforme feedback do professor.;Todos os integrantes
18/09/2025;Reunião do Grupo;Discussão de pontos chave e início da confecção da 2ª entrega.;Todos os integrantes
03/10/2025;Envio Final da Etapa 2;Entrega da Segunda Etapa para avaliação do professor.;Todos os integrantes
09/10/2025;Revisão 2;Ajustes na Segunda Etapa conforme feedback do professor.;Todos os integrantes
16/10/2025;Reunião do Grupo;Discussão de pontos chave e início da confecção da 3ª entrega.;Todos os integrantes
24/10/2025;Envio Final da Etapa 3;Entrega final da Terceira Etapa.;Todos os integrantes
30/10/2025;Revisão 3;Ajustes na Segunda Etapa conforme feedback do professor.;Todos os integrantes
21/11/2025;Envio Final da Etapa 4;Entrega final da Quarta Etapa.;Todos os integrantes
